time,value,run
12.149012,0,12
12.150012,0,12
12.151012,0,12
12.152012,0,12
12.153012,0,12
12.154012,0,12
12.155012,1,12
12.156012,0,12
12.157012,0,12
12.158012,0,12
12.159012,0,12
12.160016,0,12
12.161016,0,12
12.162016,0,12
12.163016,0,12
12.164012,0,12
12.165016,0,12
12.166012,0,12
12.167012,0,12
12.168012,0,12
12.169012,0,12
12.170012,0,12
12.171012,0,12
12.172012,0,12
12.173012,0,12
12.174012,0,12
12.175012,0,12
12.176012,0,12
12.177012,0,12
12.178012,0,12
12.179012,1,12
12.180016,0,12
12.181012,0,12
12.182012,0,12
12.183012,0,12
12.184012,0,12
12.185012,0,12
12.186012,0,12
12.187012,0,12
12.188012,0,12
12.189012,0,12
12.190012,0,12
12.191012,0,12
12.192012,0,12
12.193012,0,12
12.194012,0,12
12.195012,0,12
12.196012,0,12
12.197012,0,12
12.198012,0,12
12.199012,1,12
